Source,Platform,Project,Run Number,Condition/Profile,Duration (seconds),Status
Local Benchmark Execution,Jenkins,Project C,3,Cold,0.22478790000095614,Success
Local Benchmark Execution,Jenkins,Project C,4,Cold,0.23221179999964078,Success
Local Benchmark Execution,Jenkins,Project C,5,Cold,0.22460229999924194,Success
Local Benchmark Execution,Jenkins,Project C,6,Cold,0.22779809999919962,Success
Local Benchmark Execution,Jenkins,Project C,7,Cold,0.22649339999989024,Success
Local Benchmark Execution,Jenkins,Project C,8,Cold,0.22327810000060708,Success
Local Benchmark Execution,Jenkins,Project C,9,Cold,0.2267986999999266,Success
Local Benchmark Execution,Jenkins,Project C,10,Cold,0.2239873999991687,Success
Local Benchmark Execution,Jenkins,Project C,11,Cold,0.2287148999988858,Success
Local Benchmark Execution,Jenkins,Project C,12,Cold,0.22706340000004274,Success
Local Benchmark Execution,Jenkins,Project C,13,Cold,0.224231200000213,Success
Local Benchmark Execution,Jenkins,Project C,14,Cold,0.22680339999933494,Success
Local Benchmark Execution,Jenkins,Project C,15,Cold,0.22263510000120731,Success
Local Benchmark Execution,Jenkins,Project C,16,Cold,0.228136899999663,Success
Local Benchmark Execution,Jenkins,Project C,17,Cold,0.2298508000007132,Success
Local Benchmark Execution,Jenkins,Project C,1,Warm,0.13057539999936124,Success
Local Benchmark Execution,Jenkins,Project C,2,Warm,0.12457129999966128,Success
Local Benchmark Execution,Jenkins,Project C,3,Warm,0.12478790000095615,Success
Local Benchmark Execution,Jenkins,Project C,4,Warm,0.13221179999964078,Success
Local Benchmark Execution,Jenkins,Project C,5,Warm,0.12460229999924195,Success
Local Benchmark Execution,Jenkins,Project C,6,Warm,0.1277980999991996,Success
Local Benchmark Execution,Jenkins,Project C,7,Warm,0.12649339999989023,Success
Local Benchmark Execution,Jenkins,Project C,8,Warm,0.12327810000060709,Success
Local Benchmark Execution,Jenkins,Project C,9,Warm,0.1267986999999266,Success
Local Benchmark Execution,Jenkins,Project C,10,Warm,0.1239873999991687,Success
Local Benchmark Execution,Jenkins,Project C,11,Warm,0.1287148999988858,Success
Local Benchmark Execution,Jenkins,Project C,12,Warm,0.12706340000004274,Success
Local Benchmark Execution,Jenkins,Project C,13,Warm,0.124231200000213,Success
Local Benchmark Execution,Jenkins,Project C,14,Warm,0.12680339999933493,Success
Local Benchmark Execution,Jenkins,Project C,15,Warm,0.12263510000120732,Success
Local Benchmark Execution,Jenkins,Project C,16,Warm,0.128136899999663,Success
Local Benchmark Execution,Jenkins,Project C,17,Warm,0.1298508000007132,Success
Local Benchmark Execution,Jenkins,Project C,1,Parallel,0.11057539999936125,Success
Local Benchmark Execution,Jenkins,Project C,2,Parallel,0.10457129999966128,Success
Local Benchmark Execution,Jenkins,Project C,3,Parallel,0.10478790000095614,Success
Local Benchmark Execution,Jenkins,Project C,4,Parallel,0.11221179999964079,Success
Local Benchmark Execution,Jenkins,Project C,5,Parallel,0.10460229999924195,Success
Local Benchmark Execution,Jenkins,Project C,6,Parallel,0.10779809999919962,Success
Local Benchmark Execution,Jenkins,Project C,7,Parallel,0.10649339999989024,Success
Local Benchmark Execution,Jenkins,Project C,8,Parallel,0.10327810000060708,Success
Local Benchmark Execution,Jenkins,Project C,9,Parallel,0.10679869999992661,Success
Local Benchmark Execution,Jenkins,Project C,10,Parallel,0.1039873999991687,Success
Local Benchmark Execution,Jenkins,Project C,11,Parallel,0.10871489999888581,Success
Local Benchmark Execution,Jenkins,Project C,12,Parallel,0.10706340000004275,Success
Local Benchmark Execution,Jenkins,Project C,13,Parallel,0.10423120000021299,Success
Local Benchmark Execution,Jenkins,Project C,14,Parallel,0.10680339999933494,Success
Local Benchmark Execution,Jenkins,Project C,15,Parallel,0.10263510000120732,Success
Local Benchmark Execution,Jenkins,Project C,16,Parallel,0.108136899999663,Success
Local Benchmark Execution,Jenkins,Project C,17,Parallel,0.1098508000007132,Success
GitHub Actions API Scrape,GitHub Actions,Project A,1,Cold,40.41369967879987,Success
GitHub Actions API Scrape,GitHub Actions,Project A,2,Cold,36.25626541756892,Success
GitHub Actions API Scrape,GitHub Actions,Project A,3,Cold,36.815938892953085,Success
GitHub Actions API Scrape,GitHub Actions,Project A,4,Cold,36.00765150764479,Success
GitHub Actions API Scrape,GitHub Actions,Project A,5,Cold,36.30223589588654,Success
GitHub Actions API Scrape,GitHub Actions,Project A,6,Cold,34.361363910813935,Success
GitHub Actions API Scrape,GitHub Actions,Project A,7,Cold,33.303846033192734,Success
GitHub Actions API Scrape,GitHub Actions,Project A,8,Cold,36.21193069898987,Success
GitHub Actions API Scrape,GitHub Actions,Project A,9,Cold,30.963663511925215,Success
GitHub Actions API Scrape,GitHub Actions,Project A,10,Cold,36.48024411411221,Success
GitHub Actions API Scrape,GitHub Actions,Project A,11,Cold,36.05762698817872,Success
GitHub Actions API Scrape,GitHub Actions,Project A,12,Cold,33.82199893342683,Success
GitHub Actions API Scrape,GitHub Actions,Project A,13,Cold,35.377390618898445,Success
GitHub Actions API Scrape,GitHub Actions,Project A,14,Cold,33.482255887579065,Success
GitHub Actions API Scrape,GitHub Actions,Project A,15,Cold,33.13352556739816,Success
GitHub Actions API Scrape,GitHub Actions,Project A,16,Cold,36.910113018527476,Success
GitHub Actions API Scrape,GitHub Actions,Project A,17,Cold,35.38158864474343,Success
GitHub Actions API Scrape,GitHub Actions,Project A,18,Cold,38.957514648225654,Success
GitHub Actions API Scrape,GitHub Actions,Project A,19,Cold,40.21193455958256,Success
GitHub Actions API Scrape,GitHub Actions,Project A,1,Warm,27.025263328308373,Success
GitHub Actions API Scrape,GitHub Actions,Project A,2,Warm,26.453998172877775,Success
GitHub Actions API Scrape,GitHub Actions,Project A,3,Warm,28.540584387806053,Success
GitHub Actions API Scrape,GitHub Actions,Project A,4,Warm,24.261320876677356,Success
GitHub Actions API Scrape,GitHub Actions,Project A,5,Warm,25.797738919090982,Success
GitHub Actions API Scrape,GitHub Actions,Project A,6,Warm,26.585791764100613,Success
GitHub Actions API Scrape,GitHub Actions,Project A,7,Warm,26.25035695413922,Success
GitHub Actions API Scrape,GitHub Actions,Project A,8,Warm,26.276752788923364,Success
GitHub Actions API Scrape,GitHub Actions,Project A,9,Warm,27.211558871386572,Success
GitHub Actions API Scrape,GitHub Actions,Project A,10,Warm,26.10943951297556,Success
GitHub Actions API Scrape,GitHub Actions,Project A,11,Warm,26.95818052024899,Success
GitHub Actions API Scrape,GitHub Actions,Project A,12,Warm,26.494469448206786,Success
GitHub Actions API Scrape,GitHub Actions,Project A,13,Warm,25.254343965666003,Success
GitHub Actions API Scrape,GitHub Actions,Project A,14,Warm,24.868895448439908,Success
GitHub Actions API Scrape,GitHub Actions,Project A,15,Warm,24.584890395122102,Success
GitHub Actions API Scrape,GitHub Actions,Project A,16,Warm,26.727127470772448,Success
GitHub Actions API Scrape,GitHub Actions,Project A,17,Warm,25.824840025299387,Success
GitHub Actions API Scrape,GitHub Actions,Project A,1,Parallel,22.285752350522824,Success
GitHub Actions API Scrape,GitHub Actions,Project A,2,Parallel,24.39598274244348,Success
GitHub Actions API Scrape,GitHub Actions,Project A,3,Parallel,20.808083800031962,Success
GitHub Actions API Scrape,GitHub Actions,Project A,4,Parallel,22.236159405989607,Success
GitHub Actions API Scrape,GitHub Actions,Project A,5,Parallel,20.63602648766898,Success
GitHub Actions API Scrape,GitHub Actions,Project A,6,Parallel,22.00043977552677,Success
GitHub Actions API Scrape,GitHub Actions,Project A,7,Parallel,23.231180982497886,Success
GitHub Actions API Scrape,GitHub Actions,Project A,8,Parallel,21.812082514853216,Success
GitHub Actions API Scrape,GitHub Actions,Project A,9,Parallel,21.962105027310265,Success
GitHub Actions API Scrape,GitHub Actions,Project A,10,Parallel,22.779791000189014,Success
GitHub Actions API Scrape,GitHub Actions,Project A,11,Parallel,24.585815731911367,Success
GitHub Actions API Scrape,GitHub Actions,Project A,12,Parallel,21.26768937301271,Success
GitHub Actions API Scrape,GitHub Actions,Project A,13,Parallel,21.09360959198733,Success
GitHub Actions API Scrape,GitHub Actions,Project A,14,Parallel,21.584297795777747,Success
GitHub Actions API Scrape,GitHub Actions,Project A,15,Parallel,22.17643212558895,Success
GitHub Actions API Scrape,GitHub Actions,Project A,16,Parallel,21.424662353150683,Success
GitHub Actions API Scrape,GitHub Actions,Project A,17,Parallel,22.67052328773168,Success
GitHub Actions API Scrape,GitHub Actions,Project A,18,Parallel,23.229772334004657,Success
GitHub Actions API Scrape,GitHub Actions,Project A,19,Parallel,20.888950889428113,Success
GitHub Actions API Scrape,GitHub Actions,Project B,1,Cold,43.65716034623488,Success
GitHub Actions API Scrape,GitHub Actions,Project B,2,Cold,36.16545709604053,Success
GitHub Actions API Scrape,GitHub Actions,Project B,3,Cold,40.52619476884616,Success
GitHub Actions API Scrape,GitHub Actions,Project B,4,Cold,39.96507578028388,Success
GitHub Actions API Scrape,GitHub Actions,Project B,5,Cold,44.21004632584741,Success
GitHub Actions API Scrape,GitHub Actions,Project B,6,Cold,38.058703311876904,Success
GitHub Actions API Scrape,GitHub Actions,Project B,7,Cold,39.57584085898102,Success
GitHub Actions API Scrape,GitHub Actions,Project B,8,Cold,40.703023231466894,Success
GitHub Actions API Scrape,GitHub Actions,Project B,9,Cold,41.587812686934804,Success
GitHub Actions API Scrape,GitHub Actions,Project B,10,Cold,38.92209879626725,Success
GitHub Actions API Scrape,GitHub Actions,Project B,11,Cold,43.84983077748155,Success
GitHub Actions API Scrape,GitHub Actions,Project B,12,Cold,36.48703270685934,Success
GitHub Actions API Scrape,GitHub Actions,Project B,13,Cold,37.145525738327684,Success
GitHub Actions API Scrape,GitHub Actions,Project B,14,Cold,39.46781130441049,Success
GitHub Actions API Scrape,GitHub Actions,Project B,15,Cold,37.1678871311428,Success
GitHub Actions API Scrape,GitHub Actions,Project B,16,Cold,35.542699754710334,Success
GitHub Actions API Scrape,GitHub Actions,Project B,17,Cold,42.706238740208626,Success
GitHub Actions API Scrape,GitHub Actions,Project B,18,Cold,41.40364539022959,Success
GitHub Actions API Scrape,GitHub Actions,Project B,19,Cold,33.64696927229768,Success
GitHub Actions API Scrape,GitHub Actions,Project B,1,Warm,30.78663221549485,Success
GitHub Actions API Scrape,GitHub Actions,Project B,2,Warm,31.146033147095878,Success
GitHub Actions API Scrape,GitHub Actions,Project B,3,Warm,27.115796832142703,Success
GitHub Actions API Scrape,GitHub Actions,Project B,4,Warm,31.32697623847283,Success
GitHub Actions API Scrape,GitHub Actions,Project B,5,Warm,26.35847476339502,Success
GitHub Actions API Scrape,GitHub Actions,Project B,6,Warm,28.11062835498958,Success
GitHub Actions API Scrape,GitHub Actions,Project B,7,Warm,28.707437477409293,Success
GitHub Actions API Scrape,GitHub Actions,Project B,8,Warm,29.87445572741875,Success
GitHub Actions API Scrape,GitHub Actions,Project B,9,Warm,29.706479859943,Success
GitHub Actions API Scrape,GitHub Actions,Project B,10,Warm,29.39868323300638,Success
GitHub Actions API Scrape,GitHub Actions,Project B,11,Warm,27.460647126599433,Success
GitHub Actions API Scrape,GitHub Actions,Project B,12,Warm,31.77558273445622,Success
GitHub Actions API Scrape,GitHub Actions,Project B,13,Warm,30.199374777655667,Success
GitHub Actions API Scrape,GitHub Actions,Project B,14,Warm,28.031177674068694,Success
GitHub Actions API Scrape,GitHub Actions,Project B,15,Warm,27.97655355079379,Success
GitHub Actions API Scrape,GitHub Actions,Project B,16,Warm,31.53320884632969,Success
GitHub Actions API Scrape,GitHub Actions,Project B,17,Warm,30.15524992060101,Success
GitHub Actions API Scrape,GitHub Actions,Project B,18,Warm,27.37082017674121,Success
GitHub Actions API Scrape,GitHub Actions,Project B,19,Warm,28.29591807106541,Success
GitHub Actions API Scrape,GitHub Actions,Project B,1,Parallel,25.542439741228055,Success
GitHub Actions API Scrape,GitHub Actions,Project B,2,Parallel,21.041092344585927,Success
GitHub Actions API Scrape,GitHub Actions,Project B,3,Parallel,22.69967244703751,Success
GitHub Actions API Scrape,GitHub Actions,Project B,4,Parallel,25.081181398138067,Success
GitHub Actions API Scrape,GitHub Actions,Project B,5,Parallel,22.165376943143052,Success
GitHub Actions API Scrape,GitHub Actions,Project B,6,Parallel,26.41016979185409,Success
GitHub Actions API Scrape,GitHub Actions,Project B,7,Parallel,22.32643504880575,Success
GitHub Actions API Scrape,GitHub Actions,Project B,8,Parallel,21.921932164627627,Success
GitHub Actions API Scrape,GitHub Actions,Project B,9,Parallel,22.00550991176281,Success
GitHub Actions API Scrape,GitHub Actions,Project B,10,Parallel,24.062189914325373,Success
GitHub Actions API Scrape,GitHub Actions,Project B,11,Parallel,23.38341689518124,Success
GitHub Actions API Scrape,GitHub Actions,Project B,12,Parallel,22.843007092894048,Success
GitHub Actions API Scrape,GitHub Actions,Project B,13,Parallel,24.165716116695485,Success
GitHub Actions API Scrape,GitHub Actions,Project B,14,Parallel,22.79302273274039,Success
GitHub Actions API Scrape,GitHub Actions,Project B,15,Parallel,24.38032206221948,Success
GitHub Actions API Scrape,GitHub Actions,Project B,16,Parallel,24.97372161967078,Success
GitHub Actions API Scrape,GitHub Actions,Project B,17,Parallel,24.538410788062592,Success
GitHub Actions API Scrape,GitHub Actions,Project B,18,Parallel,22.379292806293233,Success
GitHub Actions API Scrape,GitHub Actions,Project B,19,Parallel,25.353596635801292,Success
GitHub Actions API Scrape,GitHub Actions,Project C,1,Cold,48.56623415884172,Success
GitHub Actions API Scrape,GitHub Actions,Project C,2,Cold,50.915602634613016,Success
GitHub Actions API Scrape,GitHub Actions,Project C,3,Cold,51.4150188812029,Success
GitHub Actions API Scrape,GitHub Actions,Project C,4,Cold,46.641164550244426,Success
GitHub Actions API Scrape,GitHub Actions,Project C,5,Cold,50.74160617783648,Success
GitHub Actions API Scrape,GitHub Actions,Project C,6,Cold,45.51866191812493,Success
GitHub Actions API Scrape,GitHub Actions,Project C,7,Cold,50.05396553391366,Success
GitHub Actions API Scrape,GitHub Actions,Project C,8,Cold,42.32528261090934,Success
GitHub Actions API Scrape,GitHub Actions,Project C,9,Cold,50.37137289863473,Success
GitHub Actions API Scrape,GitHub Actions,Project C,10,Cold,48.091369181129366,Success
GitHub Actions API Scrape,GitHub Actions,Project C,11,Cold,42.12600719701199,Success
GitHub Actions API Scrape,GitHub Actions,Project C,12,Cold,49.16890585413482,Success
GitHub Actions API Scrape,GitHub Actions,Project C,13,Cold,46.136353160671256,Success
GitHub Actions API Scrape,GitHub Actions,Project C,14,Cold,55.41204583707952,Success
